,tajimas_d_ns
Pf3D7_01_v3:98819-102282,-0.9088763552344437
Pf3D7_01_v3:104704-105209,
Pf3D7_01_v3:110750-115799,0.9762694843006252
Pf3D7_01_v3:119041-121249,-1.5138802487610046
Pf3D7_01_v3:124517-125484,
Pf3D7_01_v3:126318-128141,
Pf3D7_01_v3:128960-130840,
Pf3D7_01_v3:132086-133624,
Pf3D7_01_v3:134353-139257,-1.349775820927884
Pf3D7_01_v3:140662-142219,
Pf3D7_01_v3:143640-146396,1.8402223064580154
Pf3D7_01_v3:147915-152777,-0.8577803880924227
Pf3D7_01_v3:154176-160426,-1.0470899724718934
Pf3D7_01_v3:161131-166229,0.27834332263888417
Pf3D7_01_v3:166513-168687,-0.19659786314621724
Pf3D7_01_v3:169079-171273,
Pf3D7_01_v3:178087-180790,1.9508526549203313
Pf3D7_01_v3:182822-184222,-0.8379005524338609
Pf3D7_01_v3:190269-201230,-1.3049843994413473
Pf3D7_01_v3:202536-204143,
Pf3D7_01_v3:204622-205455,
Pf3D7_01_v3:206170-210189,-1.1728550174478574
Pf3D7_01_v3:210870-213005,-0.5041987396564974
Pf3D7_01_v3:222254-223960,
Pf3D7_01_v3:228485-229519,-1.0862597822695714
Pf3D7_01_v3:230289-234402,-1.3549206446527164
Pf3D7_01_v3:238666-247857,-1.3543555985853792
Pf3D7_01_v3:249231-252010,-1.14828501555021
Pf3D7_01_v3:253584-254930,-1.1083194338099709
Pf3D7_01_v3:255775-258543,-0.7842959045920455
Pf3D7_01_v3:260658-261809,
Pf3D7_01_v3:263340-264223,
Pf3D7_01_v3:265208-269173,-1.6660987239515257
Pf3D7_01_v3:274315-278550,-1.5413542778199496
Pf3D7_01_v3:279115-280014,
Pf3D7_01_v3:281155-285459,-0.9398865011107581
Pf3D7_01_v3:290386-292590,
Pf3D7_01_v3:295300-296931,
Pf3D7_01_v3:297362-299397,-0.9237447948903782
Pf3D7_01_v3:299562-300868,-0.633251487183993
Pf3D7_01_v3:304362-309257,0.7043005556566123
Pf3D7_01_v3:314618-319405,-1.7455346906759994
Pf3D7_01_v3:322371-326072,-1.952780959655033
Pf3D7_01_v3:326397-327224,
Pf3D7_01_v3:330738-332708,
Pf3D7_01_v3:337168-343833,-1.1845831912557419
Pf3D7_01_v3:344400-346540,
Pf3D7_01_v3:349995-351626,
Pf3D7_01_v3:352314-356211,-1.4407028529574193
Pf3D7_01_v3:357834-360339,
Pf3D7_01_v3:365610-368795,
Pf3D7_01_v3:371815-373012,
Pf3D7_01_v3:377874-378599,
Pf3D7_01_v3:379149-379806,
Pf3D7_01_v3:380697-382424,
Pf3D7_01_v3:383284-386632,-1.2381684768513013
Pf3D7_01_v3:386708-387940,
Pf3D7_01_v3:388372-389076,-1.114150655821631
Pf3D7_01_v3:389261-392065,-1.1897709755107675
Pf3D7_01_v3:396591-403606,-0.4579016602278019
Pf3D7_01_v3:405739-412169,-0.43313637415024525
Pf3D7_01_v3:413760-415100,
Pf3D7_01_v3:417921-419607,
Pf3D7_01_v3:420293-420853,
Pf3D7_01_v3:421776-427575,-1.4375454907814278
Pf3D7_01_v3:431539-435042,-0.8279021933536477
Pf3D7_01_v3:436408-438564,
Pf3D7_01_v3:439652-441418,
Pf3D7_01_v3:442543-443289,
Pf3D7_01_v3:450831-453118,
Pf3D7_01_v3:464726-470194,0.16802644108788306
Pf3D7_01_v3:495244-500076,0.19903566840386927
Pf3D7_01_v3:500959-502868,1.0085795800914625
Pf3D7_01_v3:504938-506874,-0.15113124296786623
Pf3D7_01_v3:508252-509748,-1.358618262849905
Pf3D7_01_v3:520807-522579,
Pf3D7_01_v3:527107-536351,2.1240068073166944
Pf3D7_01_v3:537109-538025,1.1174082349546448
Pf3D7_01_v3:542480-546983,-1.3282299607780634
Pf3D7_02_v3:109564-110580,-0.540256978047307
Pf3D7_02_v3:120524-124102,-0.4738542038718951
Pf3D7_02_v3:127994-128314,
