,tajimas_d_all
Pf3D7_01_v3:98819-102282,-1.510260852837207
Pf3D7_01_v3:104704-105209,-1.3199148561760963
Pf3D7_01_v3:110750-115799,-2.0564527217796646
Pf3D7_01_v3:119041-121249,-1.541908506141724
Pf3D7_01_v3:124517-125484,0.0675922281412361
Pf3D7_01_v3:126318-128141,-1.9249309197771147
Pf3D7_01_v3:128960-130840,-0.9684675255627305
Pf3D7_01_v3:132086-133624,-1.1938191667841036
Pf3D7_01_v3:134353-139257,-2.180907992978665
Pf3D7_01_v3:140662-142219,-1.3200172071297136
Pf3D7_01_v3:143640-146396,-1.217541723496671
Pf3D7_01_v3:147915-152777,-1.8177957796267825
Pf3D7_01_v3:154176-160426,-1.8637362987247263
Pf3D7_01_v3:161131-166229,-0.5770681061700659
Pf3D7_01_v3:166513-168687,-1.656488484028753
Pf3D7_01_v3:169079-171273,-1.549789851531872
Pf3D7_01_v3:172864-174591,-1.5766987304452513
Pf3D7_01_v3:175609-176376,-1.3960671158651554
Pf3D7_01_v3:178087-180790,0.7385558905007449
Pf3D7_01_v3:182822-184222,-1.516838714024974
Pf3D7_01_v3:190269-201230,-2.4839949502582352
Pf3D7_01_v3:202536-204143,
Pf3D7_01_v3:204622-205455,0.0693074434202894
Pf3D7_01_v3:206170-210189,-2.2809434572629486
Pf3D7_01_v3:210870-213005,-1.5786512820753869
Pf3D7_01_v3:215776-217509,-1.4748436724958431
Pf3D7_01_v3:222254-223960,-1.394801603479009
Pf3D7_01_v3:225110-225779,
Pf3D7_01_v3:228485-229519,-1.4384938183563172
Pf3D7_01_v3:230289-234402,-1.8926416784002598
Pf3D7_01_v3:238666-247857,-2.3421102657306365
Pf3D7_01_v3:249231-252010,-2.0384212425879285
Pf3D7_01_v3:253584-254930,
Pf3D7_01_v3:255775-258543,-2.039248635889882
Pf3D7_01_v3:260658-261809,
Pf3D7_01_v3:263340-264223,
Pf3D7_01_v3:265208-269173,-1.8742544621481783
Pf3D7_01_v3:272454-273404,
Pf3D7_01_v3:274315-278550,-2.2236164854678404
Pf3D7_01_v3:279115-280014,-1.7756673650596018
Pf3D7_01_v3:281155-285459,-1.8455096038069216
Pf3D7_01_v3:286951-288918,
Pf3D7_01_v3:290386-292590,-1.7177857606990048
Pf3D7_01_v3:293642-294968,
Pf3D7_01_v3:295300-296931,
Pf3D7_01_v3:297362-299397,
Pf3D7_01_v3:299562-300868,-1.3488453396162934
Pf3D7_01_v3:302937-303398,
Pf3D7_01_v3:304362-309257,-2.102614074547736
Pf3D7_01_v3:314618-319405,-1.9325989955698677
Pf3D7_01_v3:320168-321508,-1.8598249099012703
Pf3D7_01_v3:322371-326072,-2.1602806673145567
Pf3D7_01_v3:326397-327224,
Pf3D7_01_v3:330738-332708,-1.6879364809075872
Pf3D7_01_v3:337168-343833,-2.137051806651436
Pf3D7_01_v3:344400-346540,-1.3034333167766903
Pf3D7_01_v3:349170-349709,
Pf3D7_01_v3:349995-351626,-1.6843925192502525
Pf3D7_01_v3:352314-356211,-2.1632445126819673
Pf3D7_01_v3:357834-360339,-1.2514055494214127
Pf3D7_01_v3:363318-363992,-1.2589552686786654
Pf3D7_01_v3:365610-368795,-2.1674283866197928
Pf3D7_01_v3:369480-370178,-1.3951433618355056
Pf3D7_01_v3:371815-373012,
Pf3D7_01_v3:374439-375087,
Pf3D7_01_v3:376294-377004,
Pf3D7_01_v3:377874-378599,
Pf3D7_01_v3:379149-379806,
Pf3D7_01_v3:380697-382424,
Pf3D7_01_v3:383284-386632,-1.9880302362252456
Pf3D7_01_v3:386708-387940,-1.1206266290935123
Pf3D7_01_v3:388372-389076,-0.7004368649749265
Pf3D7_01_v3:389261-392065,-2.093503120599405
Pf3D7_01_v3:392604-393035,
Pf3D7_01_v3:393875-394835,-1.4368056877094497
Pf3D7_01_v3:396591-403606,-2.1279883550693888
Pf3D7_01_v3:405739-412169,-2.3372467895675046
Pf3D7_01_v3:413760-415100,-1.54455393311986
Pf3D7_01_v3:417921-419607,
Pf3D7_01_v3:420293-420853,
Pf3D7_01_v3:421776-427575,-2.11965579320183
Pf3D7_01_v3:430152-430858,
Pf3D7_01_v3:431539-435042,-2.1257264631840176
Pf3D7_01_v3:436408-438564,-1.7747940791376158
Pf3D7_01_v3:439652-441418,
Pf3D7_01_v3:446026-448849,-1.6037785855328948
Pf3D7_01_v3:464726-470194,-0.9302422216107639
Pf3D7_01_v3:487892-490127,
Pf3D7_01_v3:495244-500076,-0.9840045252305719
Pf3D7_01_v3:500959-502868,-0.9030932502513125
Pf3D7_01_v3:504938-506874,-0.6809353610023384
Pf3D7_01_v3:508252-509748,-1.862841707941909
Pf3D7_01_v3:520807-522579,-1.3533131099523492
Pf3D7_01_v3:527107-536351,1.5809971569017667
Pf3D7_01_v3:537109-538025,0.13520961048187008
Pf3D7_01_v3:542480-546983,-1.470693364058516
Pf3D7_02_v3:109564-110580,-0.11063189898450065
Pf3D7_02_v3:120524-124102,-2.229604201576729
Pf3D7_02_v3:129342-133563,-2.2635416597201043
Pf3D7_02_v3:135523-137139,-1.3190070691335936
Pf3D7_02_v3:137557-138389,-1.3040389350245842
Pf3D7_02_v3:138927-141192,-1.9667946869121635
Pf3D7_02_v3:141625-147564,-2.40126303177848
Pf3D7_02_v3:149524-156981,-2.457916049341074
Pf3D7_02_v3:158137-159660,-2.240813973537336
Pf3D7_02_v3:160514-161242,-1.5512278028730386
Pf3D7_02_v3:166144-168051,
Pf3D7_02_v3:168682-170136,-1.5134590462144775
Pf3D7_02_v3:171563-174912,-1.550004237301863
Pf3D7_02_v3:176567-178300,-1.7446551031181112
Pf3D7_02_v3:178955-181526,-1.9879159169111398
Pf3D7_02_v3:182228-189115,-2.324461751073176
Pf3D7_02_v3:192818-194199,
Pf3D7_02_v3:194826-196916,-1.9466405801708138
Pf3D7_02_v3:198353-199570,-1.49668187797835
Pf3D7_02_v3:200482-204048,-1.9163660307767443
Pf3D7_02_v3:205889-207403,-1.6747760003529528
Pf3D7_02_v3:209583-210833,-1.947667341173834
Pf3D7_02_v3:211348-212627,
Pf3D7_02_v3:212982-214508,-2.036649298401453
Pf3D7_02_v3:214838-217348,-1.9493531555671981
Pf3D7_02_v3:217882-218907,-1.6732826935861074
Pf3D7_02_v3:219690-222256,-1.484852511610256
Pf3D7_02_v3:223478-224851,-0.9697699726302617
Pf3D7_02_v3:228025-229932,-1.3951433618355056
Pf3D7_02_v3:231141-232529,-1.3969673890420715
Pf3D7_02_v3:235237-238816,-1.68873868940923
